costoTotalItems,delegacion,inStore,lat,lon
19599,iztacalco,,19.39303,-99.070159
6499,iztapalapa,,19.350696,-99.101866
2085,xochimilco,,19.25795,-99.11089
3599,xochimilco,,19.25795,-99.11089
6749,milpaAlta,,19.187614,-99.025985
2873,azcapotzalco,,19.49135,-99.21157
14799,coyoacan,,19.319931,-99.14907
6749,cuajimalpa,,19.36064,-99.29167
18999,tlalpan,,19.295394,-99.125915
3699,venustiano,,19.432802,-99.098167
2149,venustiano,,19.432802,-99.098167
20999,cuahutemoc,,19.436161,-99.137313
3999,iztapalapa,,19.365877,-99.049461
16599,tlalpan,,19.253669,-99.172615
3599,coyoacan,,19.327564,-99.121749
15599,cuahutemoc,,19.457351,-99.155303
19999,cuajimalpa,,19.367952,-99.298309
19999,azcapotzalco,,19.472787,-99.155815
4575,alvaroObregon,,19.345718,-99.211486
14899,gustavo,,19.553194,-99.153915
6749,cuajimalpa,,19.36064,-99.29167
5369,benitoJuarez,,19.388044,-99.185752
14852.45,azcapotzalco,,19.47019,-99.14907
4829,magdalena,,19.293785,-99.243919
18999,iztapalapa,,19.342418,-98.992408
1439,magdalena,,19.293785,-99.243919
15599,tlalpan,,19.30119,-99.16394
7760,iztapalapa,,19.336938,-99.111724
6729,gustavo,,19.49003,-99.133178
10999,gustavo,,19.504081,-99.137268
7999,tlalpan,,19.30119,-99.16394
2799,iztacalco,,19.400381,-99.131088
7499,miguelHidalgo,,19.43678,-99.20482
8899,alvaroObregon,,19.337736,-99.196495
299,miguelHidalgo,,19.421854,-99.187133
3649,tlahuac,,19.300859,-99.059181
1699,azcapotzalco,,19.476995,-99.160148
3899,azcapotzalco,,19.469768,-99.157379
15099,gustavo,,19.461273,-99.121406
8499,alvaroObregon,,19.386343,-99.208427
89,gustavo,,19.49003,-99.133178
829,gustavo,,19.487855,-99.09098
198,gustavo,,19.49003,-99.133178
7858,venustiano,,19.416072,-99.082679
14999,iztapalapa,,19.330821,-99.004608
15998,gustavo,,19.458498,-99.110687
15998,gustavo,,19.458498,-99.110687
1799,iztapalapa,,21.341352,-97.681945
16699,azcapotzalco,,19.505399,-99.20375
14899,gustavo,,19.553194,-99.153915
3818,coyoacan,,19.326301,-99.124862
3818,coyoacan,,19.326301,-99.124862
3818,coyoacan,,19.326301,-99.124862
14799,xochimilco,,19.262187,-99.11103
18999,iztapalapa,,19.369113,-99.028312
2798,coyoacan,,19.332469,-99.144752
1549,cuahutemoc,,19.405296,-99.150459
399,cuahutemoc,,19.405296,-99.150459
