costoTotalItems,estado,lat,lon
29281,GUANAJUATO,"41.009613","-4.21988010"
73147,"NUEVO LEON","25.816141","-100.241203"
129385,YUCATAN,"21.050575","-89.6401443"
171688,OAXACA,"41.648822","-0.88908529"
3699,GUANAJUATO,"21.329721","-100.919166"
196925,JALISCO,"34.048347","-117.261154"
7738,VERACRUZ,"18.879232","-97.0668258"
"313666.05","CIUDAD DE MEXICO","19.393030","-99.0701599"
"379948.43","BAJA CALIFORNIA SUR","17.074655","-61.8175201"
103196,PUEBLA,"19.042262","-98.218211"
248725,TAMAULIPAS,"26.048395","-98.3671722"
9879,GUERRERO,"16.997016","-99.7813797"
"59195.05","CIUDAD DE MEXICO","19.267953","-99.1257095"
29526,SINALOA,"24.75705","-107.4516"
3258,"ESTADO DE MEXICO","19.897960","-99.1141281"
86576,"ESTADO DE MEXICO","19.539089","-99.3992233"
103196,PUEBLA,"19.042262","-98.218211"
18929,SONORA,"27.94232","-110.9328"
116355,NAYARIT,"33.792240","-118.315071"
236682,AGUASCALIENTES,"21.933352","-102.274741"
77259,VERACRUZ,"17.994394","-94.5784530"
77259,VERACRUZ,"17.994394","-94.5784530"
74381,"CIUDAD DE MEXICO","19.473592","-99.1764068"
94807,"CIUDAD DE MEXICO","19.386123","-99.1224212"
"433217.43",VERACRUZ,"17.932167","-94.0993042"
"620476.05",VERACRUZ,"-34.60368","-58.3815574"
142827,"CIUDAD DE MEXICO","19.458408","-99.1910553"
60381,MICHOACAN,"19.704038","-101.245224"
18119,"ESTADO DE MEXICO","19.519289","-98.8814239"
,VERACRUZ,,
116355,NAYARIT,"33.792240","-118.315071"
"78564.1","ESTADO DE MEXICO","19.679412","-99.1762313"
154218,QUERETARO,"20.591272","-100.359161"
172082,"QUINTANA ROO","20.622051","-87.0750122"
162563,COLIMA,"19.281366","-103.737991"
7129,HIDALGO,"20.020036","-99.2480697"
217884,"NUEVO LEON","25.774322","-100.249847"
"118031.92","QUINTANA ROO","21.107593","-86.8855209"
353736,"NUEVO LEON","25.774780","-100.397171"
74605,VERACRUZ,"19.532947","-96.9014892"
74381,"CIUDAD DE MEXICO","19.473592","-99.1764068"
38282,VERACRUZ,"19.171546","-96.1462173"
341254,JALISCO,"20.545475","-103.358367"
29504,TAMAULIPAS,"23.706707","-99.1351852"
354754,YUCATAN,"20.930389","-89.5877304"
"201029.72",VERACRUZ,"19.210578","-96.2018890"
28115,VERACRUZ,"19.147066","-96.0989685"
33986,MICHOACAN,"19.700500","-101.193527"
"173076.43",HIDALGO,"21.136644","-98.4132843"
54547,"ESTADO DE MEXICO","37.562992","-122.325523"
138755,"NUEVO LEON","25.666761","-100.286659"
183490,"QUINTANA ROO","21.143255","-86.8423690"
48534,"NUEVO LEON","25.701526","-100.250198"
92122,CHIHUAHUA,"31.73528","-106.4451"
20911,GUANAJUATO,"21.138319","-101.744255"
33927,"ESTADO DE MEXICO","19.686079","-98.8716354"
41391,"CIUDAD DE MEXICO","19.473152","-99.0830307"
"60530.42",TABASCO,"14.477302","-90.6346283"
143729,TAMAULIPAS,"22.233104","-97.8610992"
"58222.57",OAXACA,"17.052925","-96.6242294"
44890,AGUASCALIENTES,"21.892597","-102.275505"
"78990.95","CIUDAD DE MEXICO","19.500286","-99.1802139"
26126,CHIAPAS,"16.396360","-93.2926559"
52699,ZACATECAS,"22.753715","-102.605117"
52710,COAHUILA,"25.400197","-100.990730"
46026,OAXACA,"17.086565","-96.7347488"
"177052.99",GUERRERO,"16.688480","-98.4129180"
"110111.39",GUANAJUATO,"21.149545","-100.938674"
201108,CAMPECHE,"18.606534","-90.7229919"
30115,COLIMA,"19.272872","-103.731201"
"83234.15","ESTADO DE MEXICO","19.531152","-99.1702575"
"70864.73",CHIAPAS,"14.891447","-92.2830429"
"641704.49","QUINTANA ROO","21.14332","-86.923693"
432649,"CIUDAD DE MEXICO","19.443178","-99.1442337"
30011,YUCATAN,"20.967370","-89.5925827"
47969,"CIUDAD DE MEXICO","19.466178","-99.1044616"
15509,"ESTADO DE MEXICO","19.361295","-98.9693908"
"102749.15",OAXACA,"16.44441","-95.02385"
15939,NAYARIT,"22.495954","-105.362884"
"523887.2",JALISCO,"56.130367","-106.346771"
51253,"CIUDAD DE MEXICO","19.424407","-99.0633316"
50841,"NUEVO LEON","25.696502","-100.114845"
1919,"NUEVO LEON","25.779","-100.1194"
42523,"CIUDAD DE MEXICO","19.563966","-99.1376571"
242893,"ESTADO DE MEXICO","19.629814","-99.0377578"
22306,"CIUDAD DE MEXICO","19.388172","-99.1248626"
9572,JALISCO,"20.667669","-103.280471"
573732,"CIUDAD DE MEXICO","19.411100","-99.0657730"
"112013.9",CHIAPAS,"16.758495","-93.0773468"
26545,CHIAPAS,"16.785900","-93.0958023"
"99574.35",YUCATAN,"20.397769","-89.5366439"
4697,MICHOACAN,"20.160926","-102.191505"
18234,"ESTADO DE MEXICO","19.420814","-99.4640197"
129385,YUCATAN,"21.050575","-89.6401443"
54664,SONORA,"27.07768","-109.4444"
"318040.29999999993","ESTADO DE MEXICO","19.409311","-99.2671279"
38841,"ESTADO DE MEXICO","19.779415","-99.2259063"
13378,"CIUDAD DE MEXICO","19.438396","-99.1075744"
21914,"ESTADO DE MEXICO","29.883274","-97.9413909"
